num,title,difficulty,up_vote,down_vote,score
1,Two Sum,Easy,26950,867,0.9667242742071736
2,Add Two Numbers,Medium,15149,3292,0.8158907976881773
3,Longest Substring Without Repeating Characters,Medium,19400,890,0.9532307042503536
4,Median of Two Sorted Arrays,Hard,13730,1776,0.8803553271516444
5,Longest Palindromic Substring,Medium,14670,858,0.9410400387203706
6,Zigzag Conversion,Medium,3080,7255,0.28927452814976573
7,Reverse Integer,Medium,6094,8921,0.39803121703675215
8,String to Integer (atoi),Medium,877,2485,0.24629251335579447
9,Palindrome Number,Easy,4561,1938,0.690561444980665
10,Regular Expression Matching,Hard,7152,972,0.8731166554885937
11,Container With Most Water,Medium,13080,821,0.9368974426092043
12,Integer to Roman,Medium,2513,3655,0.3952242127640956
13,Roman to Integer,Easy,2471,169,0.9259991669759391
14,Longest Common Prefix,Easy,6142,2638,0.6898691139162703
15,3Sum,Medium,14678,1408,0.9080040436041471
16,3Sum Closest,Medium,4764,222,0.9493909474100335
17,Letter Combinations of a Phone Number,Medium,8123,604,0.9252725611293328
18,4Sum,Medium,4938,593,0.8843580869789591
19,Remove Nth Node From End of List,Medium,7809,393,0.9472470194370746
20,Valid Parentheses,Easy,10088,395,0.9585020595354485
21,Merge Two Sorted Lists,Easy,9454,929,0.904883713237655
22,Generate Parentheses,Medium,10705,420,0.9585428447497766
23,Merge k Sorted Lists,Hard,9522,403,0.9553313192121429
24,Swap Nodes in Pairs,Medium,5091,257,0.9458807166619044
25,Reverse Nodes in k-Group,Hard,5646,458,0.9180875946788594
26,Remove Duplicates from Sorted Array,Easy,5233,8684,0.36800247758661786
27,Remove Element,Easy,2876,4453,0.3812936733637763
28,Implement strStr(),Easy,3239,3026,0.5046184503181846
29,Divide Two Integers,Medium,2341,8430,0.209655292186662
30,Substring with Concatenation of All Words,Hard,1621,1702,0.4708406832368939
31,Next Permutation,Medium,7909,2672,0.7391047092099075
32,Longest Valid Parentheses,Hard,6642,236,0.9611191154169623
33,Search in Rotated Sorted Array,Medium,11249,789,0.9298964878488765
34,Find First and Last Position of Element in Sorted Array,Medium,8294,256,0.9662295106236338
35,Search Insert Position,Easy,5896,345,0.9387722280226968
36,Valid Sudoku,Medium,3975,649,0.8493345029940788
37,Sudoku Solver,Hard,4125,130,0.963838080514807
38,Count and Say,Medium,995,2837,0.246018879811853
39,Combination Sum,Medium,8160,189,0.9739455408446508
40,Combination Sum II,Medium,4008,108,0.9684181352507991
41,First Missing Positive,Hard,7833,1185,0.8614659984496283
42,Trapping Rain Water,Hard,15418,219,0.9840298682883715
43,Multiply Strings,Medium,3713,1477,0.7029824097566936
44,Wildcard Matching,Hard,3969,172,0.9519499969001775
45,Jump Game II,Medium,6504,249,0.9583630556976896
46,Permutations,Medium,8237,160,0.9777938043582507
47,Permutations II,Medium,4060,87,0.9741952627848524
48,Rotate Image,Medium,7201,431,0.9381217585905517
49,Group Anagrams,Medium,7536,272,0.9608624997399954
50,"Pow(x, n)",Medium,3471,4625,0.41798617700141394
51,N-Queens,Hard,4571,136,0.96592386992157
